Date,AUD
Friday 1 January 2021,$1.2999
Saturday 2 January 2021,$1.2999
Sunday 3 January 2021,$1.2968
Monday 4 January 2021,$1.3041
Tuesday 5 January 2021,$1.2878
Wednesday 6 January 2021,$1.2794
Thursday 7 January 2021,$1.2871
Friday 8 January 2021,$1.2876
Saturday 9 January 2021,$1.2887
Sunday 10 January 2021,$1.2960
Monday 11 January 2021,$1.2977
Tuesday 12 January 2021,$1.2862
Wednesday 13 January 2021,$1.2911
Thursday 14 January 2021,$1.2860
Friday 15 January 2021,$1.2982
Saturday 16 January 2021,$1.2982
Sunday 17 January 2021,$1.3006
Monday 18 January 2021,$1.3013
Tuesday 19 January 2021,$1.2967
Wednesday 20 January 2021,$1.2894
Thursday 21 January 2021,$1.2883
Friday 22 January 2021,$1.2959
Saturday 23 January 2021,$1.2959
Sunday 24 January 2021,$1.2971
Monday 25 January 2021,$1.2964
Tuesday 26 January 2021,$1.2900
Wednesday 27 January 2021,$1.3074
Thursday 28 January 2021,$1.3038
Friday 29 January 2021,$1.3084
Saturday 30 January 2021,$1.3086
Sunday 31 January 2021,$1.3126
Monday 1 February 2021,$1.3099
Tuesday 2 February 2021,$1.3144
Wednesday 3 February 2021,$1.3099
Thursday 4 February 2021,$1.3156
Friday 5 February 2021,$1.3026
Saturday 6 February 2021,$1.3026
Sunday 7 February 2021,$1.3022
Monday 8 February 2021,$1.2973
Tuesday 9 February 2021,$1.2918
Wednesday 10 February 2021,$1.2946
Thursday 11 February 2021,$1.2901
Friday 12 February 2021,$1.2888
Saturday 13 February 2021,$1.2893
Sunday 14 February 2021,$1.2880
Monday 15 February 2021,$1.2844
Tuesday 16 February 2021,$1.2924
Wednesday 17 February 2021,$1.2889
Thursday 18 February 2021,$1.2876
Friday 19 February 2021,$1.2707
Saturday 20 February 2021,$1.2708
Sunday 21 February 2021,$1.2677
Monday 22 February 2021,$1.2634
Tuesday 23 February 2021,$1.2645
Wednesday 24 February 2021,$1.2534
Thursday 25 February 2021,$1.2716
Friday 26 February 2021,$1.2978
Saturday 27 February 2021,$1.2977
Sunday 28 February 2021,$1.2896
Monday 1 March 2021,$1.2873
Tuesday 2 March 2021,$1.2780
Wednesday 3 March 2021,$1.2886
Thursday 4 March 2021,$1.2963
Friday 5 March 2021,$1.3010
Saturday 6 March 2021,$1.3010
Sunday 7 March 2021,$1.2972
Monday 8 March 2021,$1.3062
Tuesday 9 March 2021,$1.2961
Wednesday 10 March 2021,$1.2935
Thursday 11 March 2021,$1.2845
Friday 12 March 2021,$1.2880
Saturday 13 March 2021,$1.2888
Sunday 14 March 2021,$1.2883
Monday 15 March 2021,$1.2906
Tuesday 16 March 2021,$1.2911
Wednesday 17 March 2021,$1.2800
Thursday 18 March 2021,$1.2896
Friday 19 March 2021,$1.2923
Saturday 20 March 2021,$1.2924
Sunday 21 March 2021,$1.2950
Monday 22 March 2021,$1.2911
Tuesday 23 March 2021,$1.3152
Wednesday 24 March 2021,$1.3173
Thursday 25 March 2021,$1.3169
Friday 26 March 2021,$1.3102
Saturday 27 March 2021,$1.3103
Sunday 28 March 2021,$1.3092
Monday 29 March 2021,$1.3095
Tuesday 30 March 2021,$1.3160
Wednesday 31 March 2021,$1.3165
Thursday 1 April 2021,$1.3126
Friday 2 April 2021,$1.3139
Saturday 3 April 2021,$1.3140
Sunday 4 April 2021,$1.3137
Monday 5 April 2021,$1.3058
Tuesday 6 April 2021,$1.3057
Wednesday 7 April 2021,$1.3139
Thursday 8 April 2021,$1.3064
Friday 9 April 2021,$1.3116
Saturday 10 April 2021,$1.3120
Sunday 11 April 2021,$1.3121
Monday 12 April 2021,$1.3117
Tuesday 13 April 2021,$1.3084
Wednesday 14 April 2021,$1.2947
Thursday 15 April 2021,$1.2903
Friday 16 April 2021,$1.2921
Saturday 17 April 2021,$1.2931
Sunday 18 April 2021,$1.2947
Monday 19 April 2021,$1.2885
Tuesday 20 April 2021,$1.2934
Wednesday 21 April 2021,$1.2898
Thursday 22 April 2021,$1.2975
Friday 23 April 2021,$1.2909
Saturday 24 April 2021,$1.2908
Sunday 25 April 2021,$1.2906
Monday 26 April 2021,$1.2824
Tuesday 27 April 2021,$1.2873
Wednesday 28 April 2021,$1.2816
Thursday 29 April 2021,$1.2870
Friday 30 April 2021,$1.2958
Saturday 1 May 2021,$1.2959
Sunday 2 May 2021,$1.2958
Monday 3 May 2021,$1.2888
Tuesday 4 May 2021,$1.2964
Wednesday 5 May 2021,$1.2909
Thursday 6 May 2021,$1.2850
Friday 7 May 2021,$1.2749
Saturday 8 May 2021,$1.2747
Sunday 9 May 2021,$1.2735
Monday 10 May 2021,$1.2758
Tuesday 11 May 2021,$1.2757
Wednesday 12 May 2021,$1.2936
Thursday 13 May 2021,$1.2943
Friday 14 May 2021,$1.2861
Saturday 15 May 2021,$1.2861
Sunday 16 May 2021,$1.2855
Monday 17 May 2021,$1.2874
Tuesday 18 May 2021,$1.2828
Wednesday 19 May 2021,$1.2953
Thursday 20 May 2021,$1.2864
Friday 21 May 2021,$1.2940
Saturday 22 May 2021,$1.2940
Sunday 23 May 2021,$1.2943
Monday 24 May 2021,$1.2897
Tuesday 25 May 2021,$1.2898
Wednesday 26 May 2021,$1.2921
Thursday 27 May 2021,$1.2917
Friday 28 May 2021,$1.2968
Saturday 29 May 2021,$1.2968
Sunday 30 May 2021,$1.2969
Monday 31 May 2021,$1.2914
Tuesday 1 June 2021,$1.2901
Wednesday 2 June 2021,$1.2906
Thursday 3 June 2021,$1.3055
Friday 4 June 2021,$1.2917
Saturday 5 June 2021,$1.2917
Sunday 6 June 2021,$1.2921
Monday 7 June 2021,$1.2891
Tuesday 8 June 2021,$1.2926
Wednesday 9 June 2021,$1.2941
Thursday 10 June 2021,$1.2898
Friday 11 June 2021,$1.2978
Saturday 12 June 2021,$1.2974
Sunday 13 June 2021,$1.2973
Monday 14 June 2021,$1.2966
Tuesday 15 June 2021,$1.3010
Wednesday 16 June 2021,$1.3130
Thursday 17 June 2021,$1.3230
Friday 18 June 2021,$1.3373
Saturday 19 June 2021,$1.3372
Sunday 20 June 2021,$1.3327
Monday 21 June 2021,$1.3261
Tuesday 22 June 2021,$1.3241
Wednesday 23 June 2021,$1.3200
Thursday 24 June 2021,$1.3187
Friday 25 June 2021,$1.3180
Saturday 26 June 2021,$1.3180
Sunday 27 June 2021,$1.3187
Monday 28 June 2021,$1.3219
Tuesday 29 June 2021,$1.3311
Wednesday 30 June 2021,$1.3334
Thursday 1 July 2021,$1.3392
Friday 2 July 2021,$1.3288
Saturday 3 July 2021,$1.3279
Sunday 4 July 2021,$1.3297
Monday 5 July 2021,$1.3252
Tuesday 6 July 2021,$1.3346
Wednesday 7 July 2021,$1.3356
Thursday 8 July 2021,$1.3459
